Disease_Name,Symptom_List
SVC obstruction,"['Distended veins in the neck ', ' Reddish mucous membranes (inside the nose, mouth, and other places) ', ' Dizziness, fainting ', ' Swelling of the face ', ' Headache ', ' Sensation of head or ear fullness ', ' Swelling of the whites of the eyes ', ' Redness changing to blueness later ', ' Vision changes ', ' Reddish palms ', ' Reddish face or cheeks ', ' Decreased alertness ', ' Swelling around the eye']"
Swallowing chalk,"['Constipation ', ' Cough ', ' Shortness of breath ', ' Nausea and vomiting ', ' Diarrhea ', ' Abdominal pain']"
Swallowing difficulty,"['Regurgitating food that has not been digested. ', ' Very hot or cold foods ', ' Heartburn. ', ' Cough or wheezing that becomes worse. ', ' Dry crackers or bread ', ' Meat or chicken ', ' Sour taste in the mouth. ', ' Difficulty swallowing liquids but not solids (may indicate nerve damage or spasm of the esophagus). ', ' Nausea. ', ' Difficulty swallowing only solids (may indicate a tumor or stricture) suggests a physical blockage such as a stricture or a tumor.']"
Swallowing soap,"['Diarrhea ', ' Vomiting']"
Swallowing sunscreen,"['Shortness of breath (more common in allergic reactions) ', ' Slowed breathing (if a large amount is swallowed) ', ' Eye irritation if it touched the eyes ', ' Nausea and vomiting ', ' Rash ', ' Wheezing (more common in allergic reactions)']"
Swimmer's ear,"['Drainage from the ear -- yellow, yellow-green, pus-like, or foul smelling ', ' Hearing loss ', ' Ear pain, which may get worse when you pull on the outer ear ', ' Itching of the ear or ear canal']"
Swimming pool cleaner poisoning,"['Burns of the food pipe (esophagus) ', ' Burn ', ' Holes in the skin or tissues under the skin ', ' Irritation ', ' Throat swelling (may also cause breathing difficulty) ', ' Severe pain in the throat ', ' Loss of vision ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Nausea ', ' Severe abdominal pain ', ' Vomiting (may contain blood) ', ' Low blood pressure that develops rapidly (shock) ', ' Too much or too little acid in the blood -- leads to organ damage ', ' Breathing difficulty (from breathing in the substance) ', ' Collapse']"
Sydenham chorea,"['Loss of fine motor control, especially of the fingers and hands ', ' High fever ', ' Nosebleeds ', ' Heart problem ', ' Changes in handwriting ', ' Joint pain or swelling ', ' Skin lumps or skin rashes ', ' Loss of emotional control, with bouts of inappropriate crying or laughing']"
Syndrome of inappropriate antidiuretic hormone secretion,"['Problems with balance that may result in falls ', ' Nausea and vomiting ', ' Headache ', ' Seizures or coma, in severe cases ', ' Mental changes, such as confusion, memory problems, strange behavior']"
Syphilis,"['General ill feeling ', ' Skin rash, usually on the palms of the hands and soles of the feet ', ' Enlarged lymph nodes in the area of the sore ', ' Swollen lymph nodes ', ' Hair loss ', ' Sores called mucous patches in or around the mouth, vagina, or penis ', ' Loss of appetite ', ' Tumors of skin, bones, or liver ', ' Small, painless open sore or ulcer (called a chancre) on the genitals, mouth, skin, or rectum that heals by itself in 3 to 6 weeks ', ' Damage to the heart, causing aneurysms or valve disease ', ' Vision changes ', ' Central nervous system disorders (neurosyphilis) ', ' Moist, warty patches (called condylomata lata) in the genitals or skin folds']"
Syphilitic aseptic meningitis,"['Changes in vision, such as blurred vision, decreased vision ', ' Mental status changes, including confusion, decreased attention span, and irritability ', ' Sensitivity to light (photophobia) and loud noises ', ' Stiff neck or shoulders, muscle aches ', ' Nausea and vomiting ', ' Headache ', ' Sleepiness, lethargy, hard to wake up ', ' Fever ', ' Seizures']"
Syringomyelia,"['Spasms or tightness in the leg or hand and arm muscles ', ' Difficulty walking or toe walking in children ', ' Loss of muscle mass (wasting, atrophy), often in the arms and hands ', ' Muscle function loss, loss of ability to use arms or legs ', ' Weakness (decreased muscle strength) in the arms or legs ', ' Headache ', ' Scoliosis (in children) ', ' Uncontrollable movements of the eyes (nystagmus) ', ' Condition that affects the nerves to the eye and face (Horner syndrome) ', ' Increased reflexes in lower limbs ', ' Painless burn or injury of the hand ', ' Loss of reflexes in upper limbs ', ' Numbness that decreases the feeling of pain or temperature; lowers the ability to feel when the skin is being touched; occurs in the neck, shoulders, upper arms, and trunk in a cape-like pattern; and slowly gets worse over time ', ' Pain down the arms, neck, or into the middle back or legs']"
Systemic lupus erythematosus,"['Fever with no other cause. ', ' Lung -- Buildup of fluid in the pleural space, difficulty breathing, coughing up blood ', ' Fatigue. ', ' Hair loss. ', ' Swollen lymph nodes. ', ' Heart -- Valve problems, inflammation of heart muscle or heart lining (pericardium) ', ' Chest pain when taking a deep breath. ', ' Weight loss. ', ' Brain and nervous system -- Headaches, weakness, numbness, tingling, seizures, vision problems, memory and personality changes ', ' Blood abnormalities including anemia, low white blood cell or platelet count ', ' Digestive tract -- Abdominal pain, nausea, and vomiting ', ' Skin rash -- A ""butterfly"" rash develops in about half the people with SLE. The rash is mostly seen over the cheeks and bridge of the nose. It can be widespread. It gets worse in sunlight. ', ' Mouth sores. ', ' Skin -- Sores in the mouth ', ' Sensitivity to sunlight. ', ' Circulation -- Clots in veins or arteries, inflammation of blood vessels, constriction of blood vessels in response to cold (Raynaud phenomenon) ', ' Kidney -- Swelling in the legs ', ' General discomfort, uneasiness, or ill feeling (malaise).']"
Tabes dorsalis,"['Sexual function problems ', ' Problems walking due to nerve damage causing the person to walk with the legs far apart and feet slapping the ground ', ' Bladder control problems ', ' Joint damage, especially of the knees ', ' Vision changes ', ' Loss of coordination and reflexes ', ' Muscle weakness ', ' Abnormal sensations (paresthesia), often called ""lightning pains""']"
Tailbone trauma,"['Pain when sitting or putting pressure on the tailbone ', ' Bruising on the lower part of the spine']"
Tailbone trauma - aftercare,"['Ice your tailbone for about 20 minutes every hour while awake for the first 48 hours, then 2 to 3 times a day. Do not apply ice directly to the skin. ', ' Do not take more than the amount recommended on the bottle or more than your provider advises you to take. ', ' Avoid sitting a lot. When sleeping, lie on your belly to take pressure off the tailbone. ', ' Talk with your provider before using these drugs if you have heart disease, high blood pressure, kidney disease, liver disease, or have had stomach ulcers or internal bleeding in the past. ', ' Rest and stop any physical activity that causes pain. The more you rest, the quicker the injury can heal. ', ' Use a cushion or gel donut when sitting. The hole in the center will take pressure off your tailbone. You can buy the cushion at a drugstore.']"
Takayasu arteritis,"['Night sweats ', ' Skin rash ', ' Decreased radial pulses (at the wrist) ', ' Fatigue ', ' High blood pressure (hypertension) ', ' Dizziness ', ' Lightheadedness ', ' Weight loss ', ' Vision changes ', ' Fever ', ' Arm weakness or pain with use ', ' Muscle or joint pain ', ' Difference in blood pressure between the two arms']"
Talcum powder poisoning,"['Blue skin, lips, and fingernails ', ' Wheezing ', ' Throat irritation ', ' No urine output ', ' Eye irritation ', ' Rapid, shallow breathing ', ' Lethargy (generalized weakness) ', ' Diarrhea ', ' Convulsions (seizures) ', ' Chest pain ', ' Urine output is greatly decreased ', ' Blisters ', ' Twitching of the facial muscles ', ' Twitching of arms, hands, legs, or feet ', ' Difficulty breathing ', ' Drowsiness ', ' CoughÂ\xa0(from particles in the lung) ', ' Vomiting ', ' Cough (from throat irritation) ', ' Low blood pressure ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Collapse']"
Tapeworm infection - hymenolepis,"['Itchy anus ', ' Weakness ', ' Poor appetite ', ' Diarrhea ', ' Gastrointestinal discomfort']"
Tar remover poisoning,"['Feeling of being drunk (euphoria) ', ' Weakness ', ' Headache ', ' Low blood pressure (shock) ', ' Vision loss ', ' Severe pain or burning in the throat, nose, eyes, ears, lips, or tongue ', ' Loss of alertness (unconsciousness) ', ' Burns ', ' Staggering ', ' Vomiting (may be bloody) ', ' Blood in the stools ', ' Abdominal pain -- severe ', ' Irritation ', ' Burns of the esophagus (food pipe) ', ' Dizziness ', ' Depression ', ' Nausea ', ' Drowsiness ', ' Seizures ', ' Holes in the skin or tissues under the skin ', ' Breathing difficulty ', ' Throat swelling, which can lead to breathing difficulty ', ' Collapse']"
Tarantula spider bite,"['Swelling of the lips and throat ', ' Loss of blood flow to major organs (an extreme reaction) ', ' Breathing difficulty ', ' Skin rash ', ' Swelling at the site of the bite ', ' Eyelid puffiness ', ' Itchiness ', ' Low blood pressure and collapse (shock) ', ' Rapid heart rate']"
Tardive dyskinesia,"['Repetitive chewing ', ' Restlessness ', ' Tongue thrusting ', ' Finger movement (piano playing movements) ', ' Jaw swinging ', ' Rapid eye blinking ', ' Facial grimacing (commonly involving lower facial muscles) ', ' Rocking or thrusting of the pelvis (duck-like gait)']"
Tarsal tunnel syndrome,"['Weakness and atrophy of foot muscles that move toes ', ' Pain at the ankle and in the bottom of the foot and toes ', ' Sensation changes in the bottom of the foot and toes, including burning sensation, numbness, tingling, or other abnormal sensation']"
Tay-Sachs disease,"['Increased startle reaction ', ' Irritability ', ' Slow growth and delayed mental and social skills ', ' Deafness ', ' Dementia (loss of brain function) ', ' Decreased muscle tone (loss of muscle strength), loss of motor skills, paralysis ', ' Listlessness ', ' Decreased eye contact, blindness ', ' Seizures']"
Tendinitis,"['Pain at night ', ' Pain and tenderness along a tendon, usually near a joint ', ' Stiffness in the morning ', ' Pain that is worse with movement or activity']"
Tennis elbow,"['Elbow pain that gets worse over time ', ' Weak grip ', ' PainÂ\xa0that radiatesÂ\xa0from the outside of the elbow to the forearm and back of the hand when grasping or twisting']"
Tenosynovitis,"['Pain and tenderness around the joint ', ' Difficulty moving the joint ', ' Pain when moving the joint ', ' Redness along the length of the tendon ', ' Joint swelling in the affected area']"
Tension headache,"['A tight band or vise on or around the head ', ' All over (not just in one point or one side) ', ' Worse in the scalp, temples, or back of the neck, and possibly in the shoulders ', ' Dull, pressure-like (not throbbing)']"
Testicular cancer,"['Enlarged testicle or a change in the way it feels ', ' Pain in the back or lower abdomen ', ' Excess amount of breast tissue (gynecomastia), however this can occur normally in adolescent boys who do not have testicular cancer ', ' Discomfort or pain in the testicle, or a feeling of heaviness in the scrotum ', ' Lump or swelling in either testicle']"
Testicular failure,"['Infertility ', ' Decrease in height ', ' Slow development or lack of secondary male sex characteristics (hair growth, scrotum enlargement, penis enlargement, voice changes) ', ' Loss of muscle mass ', ' Loss of armpit and pubic hair ', ' Enlarged breasts (gynecomastia) ', ' Lack of sex drive (libido)']"
Testicular torsion,"['Blood in the semen ', ' Testicle pulled to a higher position in scrotum than normal (high riding) ', ' Swelling within one side of the scrotum (scrotal swelling). ', ' Nausea or vomiting. ', ' Testicle lump ', ' Sudden severe pain in one testicle. The pain may occur without a clear reason.']"
Tetanus,"['Drooling ', ' Irritability ', ' Swallowing difficulty ', ' Uncontrolled urination or defecation ', ' Fever ', ' Hand or foot spasms ', ' Excessive sweating']"
Tetrahydrozoline poisoning,"['Blue lips and fingernails (cyanosis) ', ' Blurred vision ', ' Weakness ', ' Low body temperature ', ' Changes in blood pressure (high at first, low later) ', ' Change in pupil size ', ' Difficulty breathing or no breathing ', ' Irritability ', ' Nervousness, tremors ', ' Headache ', ' Coma (lack of responsiveness) ', ' Nausea and vomiting ', ' Fast or slow heartbeat ', ' Altered mental state ', ' Seizures']"
Tetralogy of Fallot,"['Blue color to the skin (cyanosis), which gets worse when the baby is upset ', ' Passing out ', ' Difficulty feeding (poor feeding habits) ', ' Failure to gain weight ', ' Squatting during episodes of cyanosis (which increases blood flow to the lungs) ', ' Clubbing of fingers (skin or bone enlargement around the fingernails) ', ' Poor development']"
Thalassemia,"['Bone deformities in the face ', ' Growth failure ', ' Yellow skin (jaundice) ', ' Fatigue ', ' Shortness of breath']"
The night before your surgery,"['Cough ', ' Any new skin rashes or skin infections (including herpes outbreak) ', ' Chest pain or shortness of breath ', ' Fever ', ' Cold or flu symptoms']"
The night before your surgery - children,"['Cough ', ' Any skin rashes or skin infections ', ' Cold or flu symptoms ', ' Fever']"
Thiazide overdose,"['Dry mouth ', ' Weakness ', ' Dizziness, fainting ', ' Nausea, vomiting ', ' Low blood pressure ', ' Frequent urination, pale-colored urine ', ' Seizures (convulsions) ', ' Slow breathing ', ' Skin sensitive to sunlight, yellow skin ', ' Muscle cramps and twitching ', ' Rash ', ' Drowsiness ', ' Heart rhythm problems ', ' Vision problems (things you see look yellow) ', ' Coma (unresponsiveness) ', ' Confusion ', ' Fever']"
Thioridazine overdose,"['High or very low blood pressure ', ' Constipation ', ' Tremor ', ' Cannot completely empty the bladder ', ' Neck or face stiffness ', ' Rapid heartbeat ', ' Yellow eyes ', ' Muscle stiffness ', ' Dry mouth ', ' Difficulty walking ', ' Drowsiness, coma ', ' Fluid buildup in the lungs ', ' Blue discoloration of the skin (changing to a purplish color) ', ' Blurred vision ', ' Nasal congestion ', ' Drooling ', ' Loss of appetite ', ' Dizziness ', ' Difficulty breathing ', ' Menstrual changes ', ' Vision color changes (brown tinge) ', ' Nausea ', ' Fever ', ' Seizures ', ' Breathing may stop in severe cases ', ' Swallowing difficulties ', ' Weakness, lack of coordination ', ' Ulcers in the mouth, on the tongue, or in the throat ', ' Muscle spasms ', ' Slow heartbeat ', ' Hypothermia (body temperature is lower than normal) ', ' Irregular heartbeat']"
Thoracic aortic aneurysm,"['Hoarseness ', ' Blood leaks along the wall of the aorta (aortic dissection). ', ' Swallowing problems ', ' High-pitched breathing (stridor) ', ' Clammy skin ', ' The aneurysm grows quickly. ', ' Nausea and vomiting ', ' Chest or upper back pain ', ' The aneurysm tears open (called a rupture). ', ' Swelling in the neck ', ' Rapid heart rate ', ' Sense of impending doom']"
Thoracic outlet syndrome,"['Pain, numbness, and tingling in the pinky and ring fingers, and the inner forearm ', ' Signs of poor circulation in the hand or forearm (a bluish color, cold hands, or a swollen arm) ', ' Weakness of the muscles in the hand ', ' Pain and tingling in the neck and shoulders (carrying something heavy may make the pain worse)']"
Throat or larynx cancer,"['Sore throat that does not get better in 2 to 3 weeks, even with antibiotics ', ' Swelling or lumps in the neck ', ' Neck or ear pain ', ' Cough ', ' Abnormal (high-pitched) breathing sounds ', ' Hoarseness that does not get better in 3 to 4 weeks ', ' Weight loss not due to dieting ', ' Coughing up blood']"
Thromboangiitis obliterans,"['Skin changes or small painful ulcers on the fingers or toes. ', ' Occasionally, arthritis in the wrists or knees develops before the blood vessels become blocked. ', ' Pain in the legs, ankles, or feet when walking (intermittent claudication). The pain is often located in the arch of the foot. ', ' Sudden severe pain in the hands and feet. The pain may feel like a burning or tingling sensation. ', ' Fingers or toes that appear pale, red, or bluish and feel cold to the touch. ', ' Pain in the hands and feet that most often occurs when at rest. The pain may be worse when the hands and feet get cold or during emotional stress.']"
Thrombocytopenia,"['Bleeding in the mouth and gums ', ' Nosebleeds ', ' Rash (pinpoint red spots called petechiae) ', ' Bruising']"
Thrombophlebitis,"['Pain in the part of the body affected ', ' Swelling in the part of the body affected ', ' Skin redness (not always present) ', ' Warmth and tenderness over the vein']"
Thrombotic thrombocytopenic purpura,"['Fatigue, weakness ', ' Bleeding into the skin or mucus membranes ', ' Shortness of breath ', ' Headache ', ' Fever ', ' Pale skin color or yellowish skin color ', ' Confusion ', ' Fast heart rate (over 100 beats per minute)']"
Thrush - children and adults,"['White, velvety sores in the mouth and on the tongue ', ' Some bleeding when you brush your teeth or scrape the sores ', ' Pain when swallowing']"
Thrush in newborns,"['Diaper rash ', ' Mood changes, such as being very fussy ', ' Wiping the sores may cause bleeding ', ' Tenderness and pain during and after nursing ', ' Redness in the mouth ', ' White, velvety sores in the mouth and on the tongue ', ' Deep-pink, cracked, and sore nipples ', ' Refusing to nurse because of soreness']"
Thyroid cancer,"['Cough ', ' Difficulty swallowing ', ' Enlargement of the thyroid gland ', ' Hoarseness or changing voice ', ' Thyroid lump (nodule) ', ' Neck swelling']"
Thyroid cancer - medullary carcinoma,"['Hoarseness ', ' Cough with blood ', ' Cough ', ' Diarrhea due to high calcitonin level ', ' Breathing problems due to narrowing of airways ', ' Swelling of the neck']"
Thyroid nodule,"['Tremor ', ' Fast pulse and palpitations ', ' A visible goiterÂ\xa0(enlarged thyroid gland) ', ' Nervousness or anxiety ', ' Skin blushing or flushing ', ' Dry skin ', ' Increased appetite ', ' Feeling cold when other people do not ', ' Weight gain ', ' Irregular or lighter menstrual periods ', ' ConstipationÂ ', ' Chest pain ', ' Face swelling ', ' More frequent bowel movements ', ' Hair loss ', ' Restlessness or poor sleep ', ' Memory loss ', ' Weight loss ', ' Hoarseness or changing voice ', ' Pain in the neck ', ' Problems swallowingÂ\xa0food ', ' Palpitations ', ' Problems breathing,Â\xa0especially when lying down flat ', ' Fatigue ', ' Warm, sweaty skin ', ' Irregular menstrual periods']"
Thyroid preparation overdose,"['Anxiety, nervousness ', ' Changes in menstrual pattern ', ' Insomnia ', ' Shock (extremely low blood pressure and collapse) ', ' Nausea, vomiting ', ' Dilated pupils ', ' Seizures ', ' Tremor, shaking ', ' Weight loss ', ' Muscle aches or cramps ', ' Chest pain or discomfort ', ' Diarrhea ', ' Confusion ', ' Palpitations ', ' Irregular heartbeat ', ' Excessive sweating, skin flushing']"
Thyroid storm,"['Restlessness ', ' Bulging eyeballs ', ' Increased temperature ', ' Sweating ', ' Shaking ', ' Diarrhea ', ' Change in alertness (consciousness) ', ' Confusion ', ' Agitation ', ' Pounding heart (tachycardia)']"
Thyrotoxic periodic paralysis,"['Heat intolerance ', ' Headache ', ' Vision changes ', ' Occurs more often in the legs than the arms ', ' Is triggered by heavy, high-carbohydrate, high-salt meals ', ' Increased appetite ', ' Lasts from a few hours up to several days (rare) ', ' Having bowel movements more often ', ' Is triggered during rest after exercise ', ' Speech problems ', ' Weight loss ', ' Excessive sweating ', ' Warm, moist skin ', ' Tremors of the hand ', ' Insomnia ', ' Feeling strong heartbeat (palpitations) ', ' Fatigue ', ' Fast heart rate ', ' Comes and goes ', ' Trouble swallowing ', ' Is most common in the shoulders and hips ', ' Trouble breathing']"
Tick bite,"['Swelling at site (from some kinds of ticks) ', ' Weakness ', ' Blisters ', ' Severe pain at site, lasting several weeks (from some kinds of ticks) ', ' Difficulty breathing ', ' Rash ', ' Uncoordinated movement ', ' Stopped breathing']"
Tinea versicolor,"['Are found on the forehead (in children) ', ' Mild swelling ', ' Mild itching ', ' Have sharp borders (edges) and fine scales ', ' Are found on the back, underarms, upper arms, chest, and neck ', ' Increased sweating ', ' Do not darken in the sun, so may appear lighter than the surrounding healthy skin ', ' Are oftenÂ\xa0lighter or darker than the surrounding skin']"
TMJ disorders,"['Difficulty opening or closing the mouth ', ' Dull, aching pain in the face ', ' Earache ', ' Headache ', ' Locking of the jaw ', ' Biting or chewing difficulty or discomfort ', ' Clicking, popping, or grating sound when opening or closing the mouth ', ' Jaw pain or tenderness of the jaw']"
Toilet bowl cleaners and deodorizers poisoning,"['Ulcers in the skin or tissues under the skin ', ' Headache ', ' Blood in the stool ', ' Severe abdominal pain ', ' Burns and pain in the throat ', ' Burns ', ' Breathing difficulty due to throat swelling ', ' Severe change in blood acid level (can lead to organ damage) ', ' Diarrhea ', ' Nausea and vomiting, sometimes containing blood ', ' Drooling from burns ', ' Burns in the food pipe (esophagus) ', ' Low blood pressureÂ\xa0that develops rapidly ', ' Irritation ', ' Loss of vision ', ' Burns of the breathing passages ', ' Seizures ', ' Burns and pain in the nose, eyes, ears, lips, or tongue ', ' Coma ', ' Collapse']"
Tolmetin overdose,"['Heartburn ', ' Rash ', ' Wheezing ', ' Confusion ', ' Kidney failure ', ' Unsteadiness ', ' Incoherence (not understandable) ', ' Diarrhea ', ' Abdominal pain ', ' Blurred vision ', ' Dizziness ', ' Rapid breathing ', ' Drowsiness ', ' Ringing in the ears ', ' Slow breathing ', ' Bleeding in the stomach and intestines ', ' Convulsions ', ' Coma ', ' Nausea and vomiting (sometimes bloody)']"
Toluene and xylene poisoning,"['Kidney damage ', ' Headache ', ' Tremors ', ' Low blood pressure (shock) ', ' Rapid, shallow breathing ', ' Unconsciousness (lack of responsiveness) ', ' Cough ', ' Staggering ', ' Pale skin ', ' Burning pain ', ' Vomiting (may be bloody) ', ' Convulsions (seizures) ', ' Abdominal pain (severe) ', ' Blurred vision ', ' Chest pain ', ' Hearing loss ', ' Loss of appetite ', ' Extreme feeling of well-being (euphoria) ', ' Dizziness ', ' Bloody stools ', ' Memory loss ', ' Nausea ', ' Drowsiness ', ' Nervousness ', ' Breathing difficulty ', ' Dry, cracked skin ', ' Irregular heartbeat']"
Tongue tie,"['Poor weight gain or weight loss. ', ' Difficulty creating or keeping suction on the nipple. The infant may become tired in 1 or 2 minutes, or fall asleep before eating enough. ', ' Acting irritable or fussy, even after feeding. ', ' Problems latching onto the nipple. The infant may just chew on the nipple instead. ', ' There may be speech and pronunciation difficulties in older children.']"
Tonsillitis,"['Fever and chills ', ' Ear pain ', ' Sore throat, which lasts longer than 48 hours and may be severe ', ' Difficulty swallowing ', ' Problems breathing, if the tonsils are very large ', ' Headache ', ' Tenderness of the jaw and throat ', ' Problems eating or drinking']"
Tooth abscess,"['Swollen glands of the neck ', ' Swelling of the gum over the infected tooth, which may look like a pimple ', ' Bitter taste in the mouth ', ' General discomfort, uneasiness, or ill-feeling ', ' Sensitivity of the teeth to hot or cold ', ' Breath odor ', ' Pain when chewing ', ' Fever ', ' Swollen area of the upper or lower jaw, which is a very serious symptom']"
Toothpaste overdose,"['Weakness ', ' Vomiting ', ' Heart attack ', ' Drooling ', ' Convulsions ', ' Difficulty breathing ', ' Shock ', ' Diarrhea ', ' Salty or soapy taste in the mouth ', ' Tremors ', ' Slow heart rate']"
Torticollis,"['Neck pain ', ' Swelling of the neck muscles (possibly present at birth) ', ' Shoulder that is higher than the other ', ' Headache ', ' Limited movement of the head ', ' Stiffness of the neck muscles ', ' Head tremor']"
Total anomalous pulmonary venous return,"['Lethargy ', ' Poor growth ', ' Bluish color of the skin (cyanosis) ', ' Poor feeding ', ' Rapid breathing ', ' Frequent respiratory infections']"
Tourette syndrome,"['Jumping ', ' Eye blinking ', ' Repeated throat clearing or sniffing ', ' Shoulder shrugging ', ' Arm thrusting ', ' Kicking']"
Toxic megacolon,"['Painful, distended abdomen ', ' Fever (sepsis) ', ' Diarrhea (usually bloody)']"
Toxic nodular goiter,"['Nervousness ', ' Heat intolerance ', ' Restlessness ', ' Irregular menstrual period (in women) ', ' Weakness and fatigue ', ' Fatigue ', ' Increased sweating ', ' Frequent bowel movements ', ' Increased appetite ', ' Muscle cramps ', ' Weight loss ', ' Changes in memory and mood ', ' Palpitations and chest pain or pressure']"
Toxic shock syndrome,"['General ill feeling ', ' Headaches ', ' Organ failure (most oftenÂ\xa0kidneys and liver) ', ' Redness of eyes, mouth, throat ', ' High fever, sometimes accompanied by chills ', ' Widespread red rash that looks like a sunburn -- skin peeling occurs 1 or 2 weeks after the rash, particularly on the palms of the hand or bottom of the feet ', ' Nausea and vomiting ', ' Diarrhea ', ' Muscle aches ', ' Confusion ', ' Seizures']"
Toxic synovitis,"['Knee pain ', ' Limp ', ' Hip pain (on one side only) ', ' Child only walking on toes and refusing to walk normally ', ' Thigh pain, in front and toward the middle of the thigh ', ' Low-grade fever, less than 101Â°F (38.33Â°C)']"
Toxoplasmosis,"['Mild illness similar to mononucleosis ', ' Enlarged lymph nodes in the head and neck ', ' Muscle pain ', ' Headache ', ' Sore throat ', ' Blurred vision due to inflammation of the retina ', ' Fever']"
Tracheal rupture,"['Difficulty breathing ', ' Coughing up blood ', ' Bubbles of air that can be felt underneath the skin of the chest, neck, arms, and trunk (subcutaneous emphysema)']"
Tracheitis,"['Difficulty breathing ', ' High-pitched breathing sound (stridor) ', ' High fever ', ' Deep cough (similar to that caused by croup)']"
Tracheomalacia - acquired,"['Breathing noises that may change when body position changes, and improve during sleep ', ' Breathing problems that get worse with coughing, crying, or upper respiratory infections, such as a cold ', ' Rattling, noisy breaths ', ' High-pitched breathing']"
Tracheomalacia - congenital,"['Breathing problems that get worse with coughing, crying, feeding, or upper respiratory infections (such as cold) ', ' Rattling or noisy breaths ', ' Breathing noises that may change with position and improve during sleep ', ' High-pitched breathing']"
Trachoma,"['Discharge from the eye ', ' Turned-in eyelashes ', ' Swelling of lymph nodes just in front of the ears ', ' Cloudy cornea ', ' Swollen eyelids']"
Transient familial hyperbilirubinemia,"['Yellow skin (jaundice) ', ' Lethargy ', ' Yellow eyes (icterus)']"
Transient ischemic attack,"['Changes in the senses (such as hearing, vision, taste, and touch) ', ' Muscle problems (such as weakness, trouble swallowing, trouble walking) ', ' Change in alertness (including sleepiness or unconsciousness) ', ' Lack of control over the bladder or bowels ', ' Dizziness or loss of balance and coordination ', ' Sensation problems (such as numbness or tingling on one side of the body) ', ' Mental changes (such as confusion, memory loss, difficulty writing or reading, trouble speaking or understanding others)']"
Transient tachypnea - newborn,"['Bluish skin color (cyanosis) ', ' Flaring nostrils or movements between the ribs or breastbone known as retractions ', ' Rapid breathing, which may occur with noises such as grunting']"
Transplant rejection,"['Flu-like symptoms, including chills, body aches, nausea, cough, and shortness of breath ', "" The organ's function may start to decrease "", ' Fever (rare) ', ' General discomfort, uneasiness, or ill feeling ', ' Pain or swelling in the area of the organ (rare)']"
Transposition of the great arteries,"['Blueness of the skin ', ' Clubbing of the fingers or toes ', ' Shortness of breath ', ' Poor feeding']"
Transverse myelitis,"['May start in your lower back ', ' Numbness ', ' Difficulty walking (stumbling or dragging your feet) ', ' Constipation ', ' Pricking ', ' Difficulty having an orgasm (men and women) ', ' Erectile dysfunction in men ', ' Sensitivity to touch or temperature ', ' Inability to urinate ', ' Frequent need to urinate ', ' Coldness ', ' Tingling ', ' May shoot down your arms and legs or wrap around your trunk or chest ', ' Sharp or blunt ', ' Burning ', ' Urine leakage (incontinence) ', ' Partial loss of function, which may develop into paralysis ', ' Difficulty holding urine ', ' Loss of balance']"
Traumatic amputation,"['Bleeding (may be minimal or severe, depending on the location and nature of the injury) ', ' Pain (the degree of pain is not always related to the severity of the injury or the amount of bleeding) ', ' Crushed body tissue (badly mangled, but still partially attached by muscle, bone, tendon, or skin)']"
Traumatic injury of the bladder and urethra,"['Difficulty beginning to urinate or inability to empty the bladder ', ' Leakage of urine ', ' Skin that is cool to the touch ', ' Abdominal tenderness ', ' Decreased alertness, drowsiness, coma ', ' Abdominal distention or bloating ', ' Small, weak urine stream ', ' Decrease in blood pressure ', ' Pale skin ', ' Bloody urethral discharge ', ' Painful urination ', ' Lower abdominal pain ', ' Sweating ', ' Blood in the urine ', ' Bruising at the site of injury ', ' Increased heart rate ', ' Pelvic pain']"
Trazodone overdose,"['Chest pain ', ' Insomnia ', ' Tremor ', ' Stopped breathing ', ' Lack of coordination ', ' Dizziness ', ' Headache ', ' Coma (lack of responsiveness) ', ' Difficulty breathing ', ' Drowsiness ', ' Abnormal erection that lasts for more than 4 hours and can cause permanent damage to the penis (priapism). ', ' Low blood pressure, sometimes leading to fainting ', ' Slow heart rate ', ' Seizures ', ' Irregular heartbeat']"
Treacher Collins syndrome,"['Very small jaw (micrognathia) ', ' Very large mouth ', ' Outer part of the ears are abnormal or almost completely missing ', ' Scalp hair that reaches to the cheeks ', ' Cleft palate ', ' Defect in the lower eyelid']"
Trench mouth,"['Gums appear red and swollen ', ' Grayish film on the gums ', ' Severe gum bleeding in response to any pressure or irritation ', ' Painful gums ', ' Bad breath ', ' Crater-like ulcers between the teeth ', ' Foul taste in the mouth ', ' Fever']"
Trichinosis,"['Facial swelling around the eyes ', ' Abdominal discomfort, cramping ', ' Muscle pain (especially muscle pain with breathing, chewing, or using large muscles) ', ' Muscle weakness ', ' Diarrhea ', ' Fever']"
Trichomoniasis,"['Swelling in the epididymis (epididymitis), the tube that connects the testicle with the vas deferens. The vas deferens connects the testicles to the urethra. ', ' Slight discharge from urethra ', ' Itching of urethra ', ' Vaginal discharge (thin, greenish-yellow, frothy or foamy) ', ' VaginalÂ\xa0or vulvar itching, or swelling of the labia ', ' Burning after urination or ejaculation ', ' Swelling and irritation in the prostate gland (prostatitis). ', ' Discomfort with intercourse ', ' Itching of the inner thighs ', ' Vaginal odor (foul or strong smell)']"
